id,title,year,first_reported_in_daily,record_type,source_venue,doi,url,source_verification,topics,datasets,input_signals,model_method,main_results,study_goal_zh,method_summary_zh,result_summary_zh,conclusion_summary_zh,takeaway_zh,deployment_summary_zh,leakage_summary_zh,content_status_zh,publication_year_status,publication_year_display,publication_year_basis,publication_year_note,calibration_type,calibration_points,calibration_timing,calibration_notes,subject_split,subject_split_notes,external_validation,external_dataset_or_cohort,external_validation_notes,deployability,deployment_judgment,inference_inputs,current_reference_bp_required,deployment_notes,leakage_risk,abp_bp_denormalization,abp_bp_alignment,abp_bp_windowing,abp_bp_quality_filtering,target_dependent_calibration,window_leakage,subject_leakage,leakage_notes,audit_status,evidence_checked_on,notes
ppgbp-011-benchmarking-and-enhancing-ppg-based-cuffless-blood-pressure-estimation-,Benchmarking and Enhancing PPG-Based Cuffless Blood Pressure Estimation Methods,2026,2026-08-13,paper,BIOSIGNALS 2026,10.5220/0014245400004070,https://www.scitepress.org/PublishedPapers/2026/142454/,primary-paper,PPG | cuffless BP | benchmark | demographics | clinical criteria,NBPDB | MIMIC-III | VitalDB,PPG | age | sex | BMI,"Standardized 101,453-segment benchmark from 1,103 healthy adults; compares multiple models and demographic fusion.",No baseline model met AAMI/ISO numerical limits; demographic-enhanced MInception reduced error 23% to SBP/DBP MAE 4.75/2.90 mmHg.,在统一数据和评估流程下比较多种 PPG→BP 模型，避免不同论文因数据处理不同而无法公平比较。,"构建 1,103 名健康成人、101,453 个片段的统一基准，比较多种网络，并测试把人口学信息与 PPG 表征融合。",所有基础模型都未达到 AAMI/ISO 的数值门槛；加入人口学信息后，MInception 误差下降 23%，SBP/DBP MAE 为 4.75/2.90 mmHg。,人口学信息能改善数值表现，但达到某个 MAE 门槛不等于完成医疗器械标准验证。,这是模型公平比较的基准，不是产品合规证明。,仍处研究基准阶段；推理可能需要 PPG 和人口学信息，尚无独立临床产品验证。,重点要核对统一 benchmark 是否严格 subject-disjoint；数值达标不能替代标准规定的受试者级协议。,已完成重点审核,verified,2026,此前重点深审记录,当前年份按本记录所对应的正式文章或预印本版本填写。,none reported,0,none,"Demographics are covariates, not cuff calibration.",reported standardized benchmark,Full split manifest should be preserved in reuse.,false,,"Derived from two public ICU/OR datasets, not consumer-device clinical validation.",research-benchmark,有助于公平比较，非产品验证,PPG | age | sex | BMI,false,Numerical standard thresholds alone do not establish protocol compliance.,medium,not reported,curated synchronized signals,high-quality segment selection,curation likely uses signal/physiological constraints; audit manifest needed,NO,controlled by standardized protocol; verify implementation,reported controlled,Healthy-adult subset and demographic baselines may narrow target variance.,priority-reviewed,2026-08-24,重点深审。
ppgbp-012-anyppg-an-ecg-guided-ppg-foundation-model-trained-on-over-100-000-hours-,"AnyPPG: An ECG-Guided PPG Foundation Model Trained on Over 100,000 Hours of Recordings for Holistic Health Profiling",2026,2026-08-13,paper,arXiv,,https://arxiv.org/abs/2511.01747,primary-metadata,PPG | foundation model | ECG-guided pretraining | wearable,six multi-source synchronized PPG-ECG datasets,PPG at deployment | ECG only during pretraining,Dual-modal alignment places synchronized PPG and ECG representations in a shared physiological space; downstream use can retain only the PPG encoder.,"Pretraining covers about 109,909 h from 58,796 subjects; reports average gains of 12.8% in regression and 9.1% in classification across 11 tasks.",利用训练期同步 ECG 帮助 PPG 学到更稳定的生理表征，再把 PPG encoder 用到多种健康任务。,通过跨模态对齐，让同步 PPG 与 ECG 进入共享生理空间；下游部署时可以只保留 PPG encoder。,"预训练规模约 109,909 小时、58,796 人；在 11 个任务上，回归平均提升 12.8%，分类平均提升 9.1%。",ECG 可作为训练期的 privileged supervision 提升 PPG 表征，但 AnyPPG 本身不是专门的 BP 医疗器械验证。,适合作为 PPG foundation model 底座；是否能测 BP 仍取决于下游数据、划分和临床验证。,训练时需要 ECG 对齐监督，下游推理可以只用 PPG。,ECG 是训练监督而非测试目标；下游任务仍需重新审计 subject split 和 BP 标签使用方式。,已完成重点审核,verified,2026,此前重点深审记录,当前年份按本记录所对应的正式文章或预印本版本填写。,task-specific downstream adaptation,,downstream,No cuff BP calibration protocol is established by the foundation-model paper.,reported across downstream datasets,Exact per-task split must be checked before BP claims.,true,six independent downstream datasets,"Broad health tasks, not a dedicated cuffless BP device validation.",research-enabler,PPG-only 表征可部署,PPG,false,"ECG is privileged training supervision, not required at inference.",low for target leakage / medium for downstream split provenance,not applicable,"ECG–PPG synchronization is a training signal, not BP target leakage",not applicable to absolute BP output,not applicable,not applicable,task-specific,task-specific,Do not treat hypertension classification or foundation-model gains as absolute SBP/DBP validation.,priority-reviewed,2026-08-24,重点深审。
ppgbp-013-reassessing-the-feasibility-of-ppg-based-non-invasive-blood-glucose-leve,Reassessing the Feasibility of PPG-Based Non-Invasive Blood Glucose Level Estimation,2026,2026-08-13,paper,Preprint,,https://arxiv.org/abs/2608.01820,primary-abstract,PPG,not_reported,PPG,统一复现 5 种代表方法，依次使用随机 window、participant-aware 和 leave-some-participants-out 三种协议，并与均值 baseline 比较。,随机划分下看似有竞争力，participant-aware/LSPO 下几乎都降至接近 0 或负 R²；所有模型甚至均值 baseline 都有超过 90% 预测落在 Clarke A+B。,用严格划分重新评估 PPG 非侵入血糖研究，检验高分是否来自 window leakage 和宽松指标。,统一复现 5 种代表方法，依次使用随机 window、participant-aware 和 leave-some-participants-out 三种协议，并与均值 baseline 比较。,随机划分下看似有竞争力，participant-aware/LSPO 下几乎都降至接近 0 或负 R²；所有模型甚至均值 baseline 都有超过 90% 预测落在 Clarke A+B。,随机窗口严重高估泛化，Clarke A+B 在该数据分布下会掩盖模型失败。,这是数据泄露与指标失真案例，虽非 BP 任务，对 PPG→BP 的评估设计同样直接适用。,不是可部署血糖产品；其价值是提供严格、可复现的审计 pipeline。,论文主动揭示 sample/window leakage；LSPO 是更可信的跨人评估，目标反归一化未成为主要问题。,已完成重点审核,verified,2026,arXiv 题名与首次提交日期核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,PPG,false,不是可部署血糖产品；其价值是提供严格、可复现的审计 pipeline。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,论文主动揭示 sample/window leakage；LSPO 是更可信的跨人评估，目标反归一化未成为主要问题。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-014-soft-multi-wavelength-photoplethysmography-enables-reliable-neonatal-blo,"Soft, Multi-Wavelength Photoplethysmography Enables Reliable Neonatal Blood Pressure Monitoring Via Error Stratification",2026,2026-08-13,paper,Advanced Science,10.1002/advs.76775,https://doi.org/10.1002/advs.76775,primary-metadata/abstract,PPG | cuffless BP | wearable deployment,not_reported,PPG | IMU/context (possible),反射+透射光路采集 G/R/IR PPG，建立 42 名新生儿、同步 invasive ABP 的 NEO-BP 前瞻性数据集，再按可测采集/生理条件做事后误差分层。,"不按 signal quality 排除样本的 held-out segment test 共 9,378 段；G+R+IR 的 SBP/DBP MAE 为 9.67/6.17 mmHg，低质量和强运动时误差增加。",构建柔性多波长新生儿 PPG，并量化不同信号质量和运动状态下 BP 误差如何变化。,反射+透射光路采集 G/R/IR PPG，建立 42 名新生儿、同步 invasive ABP 的 NEO-BP 前瞻性数据集，再按可测采集/生理条件做事后误差分层。,"不按 signal quality 排除样本的 held-out segment test 共 9,378 段；G+R+IR 的 SBP/DBP MAE 为 9.67/6.17 mmHg，低质量和强运动时误差增加。",多波长有帮助，但当前精度不足，且 segment-level held-out 不能证明对新生儿跨个体泛化。,最重要的贡献是 error stratification 和拒测依据，不是一个已达临床门槛的 BP 模型。,推理需柔性多波长 PPG；不需当前 ABP，但应配套 SQA/运动拒测。,未见目标反归一化；摘要明确 segment-level test，若同一新生儿跨集合则存在 subject leakage 风险。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not reported,,not reported,可得摘要/正文信息未报告个人 cuff calibration。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,research-only,研究验证阶段,PPG,false,推理需柔性多波长 PPG；不需当前 ABP，但应配套 SQA/运动拒测。,medium,未发现逐窗当前 BP/ABP 反归一化；若来源未公开细节则仍保留未确认。,参考 BP/ABP 用于同步监督或设备对照；未见推理期按当前目标对齐。,BP/ABP 用于生成监督窗口；窗口与受试者隔离按论文披露程度审计。,未见明确用当前 BP 选择 PPG 质量；未披露者不按已排除处理。,可得来源未报告个人目标 BP 校准。,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,未见目标反归一化；摘要明确 segment-level test，若同一新生儿跨集合则存在 subject leakage 风险。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-015-arterial-blood-pressure-waveform-reconstruction-estimation-from-ppg-usin,Arterial blood pressure waveform reconstruction estimation from PPG using TCN–BiLSTM,2026,2026-08-13,paper,American Heart Journal Plus,10.1016/j.ahjo.2026.100837,https://pmc.ncbi.nlm.nih.gov/articles/PMC13375927/,primary-full-text,PPG | ABP waveform reconstruction | cuffless BP | TCN | BiLSTM | target leakage,VitalDB | MIMIC-IV,PPG | first derivative PPG | second derivative PPG,8 s PPG windows (2 s stride) are mapped to normalized ABP waveforms by a TCN–BiLSTM with extrema-aware Huber loss.,VitalDB reported SBP MAE/RMSE 3.61/5.24 and DBP 1.79/2.37 mmHg; external MIMIC-IV table reported about 4.6/1.9 mmHg MAE.,只根据 PPG 重建完整 ABP 波形，并从波形中估计 SBP/DBP。,将 8 秒 PPG 窗口（2 秒步长）送入 TCN–BiLSTM，预测归一化 ABP 波形，并用强调极值的 Huber loss 训练。,VitalDB 上 SBP MAE/RMSE 为 3.61/5.24 mmHg，DBP 为 1.79/2.37 mmHg；外部 MIMIC-IV 表格约为 4.6/1.9 mmHg MAE。,表面误差很低，但论文使用每个测试 ABP 窗口自身的 μ/σ 恢复 mmHg，推理时等于借用了真实答案的信息。,这是数据库中的严重泄露案例：数值不能代表真实 PPG-only 部署能力。,按论文报告的流程无法部署，因为真实系统不知道当前 ABP 窗口的均值和标准差。,严重：测试 ABP 用于逐窗反归一化，且 ABP 参与质量筛选；即使 subject-disjoint 和外部数据成立，也不能抵消目标泄露。,已完成重点审核,verified,2026,此前重点深审记录,当前年份按本记录所对应的正式文章或预印本版本填写。,none claimed,0,none,"However, each test ABP window supplies its own mean and standard deviation for denormalization, which functions as unavailable target information.",true,"VitalDB split 1,568/328/330 subjects; overlapping windows stay within subject partitions.",true,MIMIC-IV,"External test without retraining is reported, but the same target-dependent preprocessing issue applies.",not-deployable-as-reported,按论文流程不可部署为 PPG-only 绝对 BP,PPG | current true ABP window mean | current true ABP window standard deviation,true,Real deployment cannot know current ABP μ/σ needed to restore mmHg.,critical,YES — per-window true ABP μ/σ stored and used for denormalization,not explicitly reported; synchronization source is pre-extracted paired data,YES — ABP peaks/troughs define labels and validity; minimum three ABP peaks required,YES — true SBP/DBP/PP ranges and ABP peak count filter windows,YES in effect through per-window ABP denormalization,"overlapping windows, but subject-wise partitions prevent cross-subject-window overlap",NO according to reported subject-wise split,Subject split and external data do not cancel leakage caused by current-test ABP statistics and ABP-based test selection.,priority-reviewed,2026-08-24,本库最高优先级泄露案例。
ppgbp-016-biosignal-fingerprinting-a-cross-modal-ppg-ecg-foundation-model,Biosignal Fingerprinting: A Cross-Modal PPG-ECG Foundation Model,2026,2026-08-13,paper,Preprint,,https://arxiv.org/abs/2605.09579,primary-abstract,PPG | foundation model,not_reported,PPG | ECG,M2AE 使用模态专属 encoder、共享 bottleneck 和双 decoder，以 reconstruction+cross-modal contrastive objectives 训练 340 万对 ECG/PPG。,7 个下游任务中，五类 CVD AUROC 0.974，高血压检测 AUROC 0.877；5 个分类任务最大 AUROC 提升 27.7%，单一模态仍可工作。,学习 PPG/ECG 跨模态共享的 cardiovascular fingerprint，供多个任务冻结复用。,M2AE 使用模态专属 encoder、共享 bottleneck 和双 decoder，以 reconstruction+cross-modal contrastive objectives 训练 340 万对 ECG/PPG。,7 个下游任务中，五类 CVD AUROC 0.974，高血压检测 AUROC 0.877；5 个分类任务最大 AUROC 提升 27.7%，单一模态仍可工作。,可用 PPG 做高血压筛查，但检测高血压标签与测量当前 BP 是不同任务。,强表征模型，不能把 AUROC 0.877 宣传成 cuffless BP 精度。,冻结 fingerprint 下游可单 PPG 推理；不需当前 BP，训练期使用 ECG。,摘要未报告患者级拆分细节；跨模态配对本身不是 BP 泄露，但高血压任务需防同一患者跨集合。,已完成重点审核,verified,2026,arXiv 题名与首次提交日期核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,PPG | ECG,false,冻结 fingerprint 下游可单 PPG 推理；不需当前 BP，训练期使用 ECG。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,摘要未报告患者级拆分细节；跨模态配对本身不是 BP 泄露，但高血压任务需防同一患者跨集合。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-017-cardiac-health-assessment-across-scenarios-and-devices-using-a-multimoda,Cardiac health assessment across scenarios and devices using a multimodal foundation model pretrained on data from 1.7 million individuals,2026,2026-08-13,paper,Nature Machine Intelligence,10.1038/s42256-026-01180-5,https://doi.org/10.1038/s42256-026-01180-5,primary-metadata/abstract,PPG | foundation model,not_reported,not_reported,Transformer+generative masked pretraining，整合约 170 万人的多源 cardiac signals 及临床或机器生成文本报告。,在诊断、人口学识别、vital sign、结局预测与 ECG QA 中整体优于 one-modal-one-task，并支持 12 导、单导 ECG、PPG-only 或联合输入；摘要未给统一数值。,用统一 cardiac sensing foundation model 适配不同设备、ECG 导联和 PPG/ECG 输入组合。,Transformer+generative masked pretraining，整合约 170 万人的多源 cardiac signals 及临床或机器生成文本报告。,在诊断、人口学识别、vital sign、结局预测与 ECG QA 中整体优于 one-modal-one-task，并支持 12 导、单导 ECG、PPG-only 或联合输入；摘要未给统一数值。,跨设备多模态适配能力强，但不是专门的无袖带 BP 验证。,适合做通用 cardiac encoder；任何 BP 下游仍需查看具体数据集和患者级外部测试。,可按场景使用 PPG-only、ECG-only 或联合输入；无需当前 BP。,多源预训练的患者重叠和文本标签来源摘要未完全说明；下游需独立审计。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,not_reported,false,可按场景使用 PPG-only、ECG-only 或联合输入；无需当前 BP。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,多源预训练的患者重叠和文本标签来源摘要未完全说明；下游需独立审计。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-018-foundation-models-enable-wearable-signal-screening-for-cardiovascular-di,Foundation models enable wearable signal screening for cardiovascular disease among people living with HIV,2026,2026-08-13,paper,Communications Medicine,10.1038/s43856-025-01331-6,https://doi.org/10.1038/s43856-025-01331-6,primary-metadata/abstract,PPG | foundation model | wearable deployment,not_reported,IMU/context (possible),80 名越南 HIV 感染者中比较 NormWear zero-shot、冻结 PaPaGei embedding+本地 classifier、PCA 和传统临床模型。,13 人有心脏科确认 CVD；PaPaGei AUROC 0.769、AP 0.489，高于 NormWear 0.610/0.226 与 PCA 0.651/0.208，但阳性仅 13 例。,评估 PPG foundation model 能否在资源有限、HIV 人群中进行低成本 CVD 筛查。,80 名越南 HIV 感染者中比较 NormWear zero-shot、冻结 PaPaGei embedding+本地 classifier、PCA 和传统临床模型。,13 人有心脏科确认 CVD；PaPaGei AUROC 0.769、AP 0.489，高于 NormWear 0.610/0.226 与 PCA 0.651/0.208，但阳性仅 13 例。,冻结 embedding 加少量本地标签可行，但小样本置信度有限，需更大多中心验证。,这是 CVD screening pilot，不是 BP 测量论文；局部 classifier 仍需要标签。,推理需 PPG 与已训练的本地 classifier；不需当前 BP，也不需 foundation model fine-tuning。,摘要未说明交叉验证是否完全按人；病例极少，过拟合和不稳定性比 BP target leakage 更关键。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,PPG | locally trained classifier,false,推理需 PPG 与已训练的本地 classifier；不需当前 BP，也不需 foundation model fine-tuning。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,摘要未说明交叉验证是否完全按人；病例极少，过拟合和不稳定性比 BP target leakage 更关键。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-019-pulselm-a-foundation-dataset-and-benchmark-for-ppg-text-learning,PulseLM: A Foundation Dataset and Benchmark for PPG-Text Learning,2026,2026-08-13,dataset-paper,arXiv,,https://arxiv.org/abs/2603.03331,primary-metadata,PPG | foundation dataset | PPG-text | question answering,15 public PPG sources,PPG | text question,Harmonized PPG segments paired with physiological question–answer tasks.,About 1.31 million 10-second PPG segments and 3.15 million QA pairs across 12 physiological QA tasks.,把 PPG 波形与生理问答文本连接起来，建立可用于多任务训练的 PPG-text 数据集和 benchmark。,统一整理 PPG 片段，并为 12 类生理任务构造问答对，用于训练和评估 PPG 与文本联合模型。,数据包含约 131 万个 10 秒 PPG 片段和 315 万组问答对，覆盖 12 个生理 QA 任务。,PulseLM 的主要贡献是数据和多任务接口，不是证明无袖带绝对 BP 已达到临床准确性。,适合做表征学习与问答研究，不能把数据规模直接换算成 BP 产品性能。,可作为下游多任务模型底座；具体 BP head 仍需单独验证。,数据构建本身不等于安全评估；复用时必须按受试者划分，并核对问答标签是否来自目标 BP。,已完成重点审核,verified,2026,此前重点深审记录,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,0,not applicable,"Dataset/benchmark, not a cuffless BP calibration method.",varies-by-source/task,Must preserve subject IDs from each constituent dataset.,false,,"Benchmark aggregation, not clinical BP validation.",research-enabler,研究基础设施,PPG | task/question specification,false,Useful for multitask representation; does not validate absolute BP measurement.,medium,not applicable to dataset itself,varies by source dataset,source-dependent,source-dependent,not applicable,high risk if constituent windows are randomly split,must be actively prevented,Aggregating many sources amplifies split-provenance risk.,priority-reviewed,2026-08-24,重点深审。
ppgbp-020-integrating-biophysical-dynamics-with-a-data-driven-method-for-blood-pre,Integrating biophysical dynamics with a data-driven method for blood pressure estimation using photoplethysmography,2026,2026-08-14,paper,Biomedical Signal Processing and Control,10.1016/j.bspc.2026.110445,https://doi.org/10.1016/j.bspc.2026.110445,primary-metadata,PPG | cuffless BP,not_reported,PPG,LSTM 数据驱动分支与 three-element Windkessel ODE 约束组成 PINN；跨人采用 leave-one-subject-out，个体化模拟 ICU→ambulatory 并严格时间分离。,跨人时 SBP MAE 17.56→13.86 mmHg（改善 21.07%），DBP 10.47→9.55（8.79%）；个体化场景与普通 baseline 相当，无显著优势。,把 Windkessel 血流动力学约束加入 PPG→BP，比较其对跨人与个体化场景的帮助。,LSTM 数据驱动分支与 three-element Windkessel ODE 约束组成 PINN；跨人采用 leave-one-subject-out，个体化模拟 ICU→ambulatory 并严格时间分离。,跨人时 SBP MAE 17.56→13.86 mmHg（改善 21.07%），DBP 10.47→9.55（8.79%）；个体化场景与普通 baseline 相当，无显著优势。,物理约束改善跨人结果但误差仍高，在已有个人数据时并未证明额外收益。,PINN 不是自动提高精度的保证；当前跨人误差离部署仍远。,跨人推理可 PPG-only；个体化版本需要历史个人 PPG+BP 校准，不需当前 BP。,LOSO 与严格时间分离降低 window/subject leakage；未见当前 BP 反归一化，风险较低。,已完成重点审核,verified,2026,Crossref 近似题名与 DOI 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not reported,,not reported,可得摘要/正文信息未报告个人 cuff calibration。,true,跨人采用 leave-one-subject-out，个体化采用严格时间分离。,false,,未确认独立外部队列验证。,research-only,研究验证阶段,PPG,false,跨人推理可 PPG-only；个体化版本需要历史个人 PPG+BP 校准，不需当前 BP。,low,未发现逐窗当前 BP/ABP 反归一化；若来源未公开细节则仍保留未确认。,参考 BP/ABP 用于同步监督或设备对照；未见推理期按当前目标对齐。,BP/ABP 用于生成监督窗口；窗口与受试者隔离按论文披露程度审计。,未见明确用当前 BP 选择 PPG 质量；未披露者不按已排除处理。,可得来源未报告个人目标 BP 校准。,有受试者/队列隔离证据；重叠窗口细节仍以全文为准。,已报告 subject-disjoint、LOSO 或独立队列。,LOSO 与严格时间分离降低 window/subject leakage；未见当前 BP 反归一化，风险较低。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-021-last-cbpm-photoplethysmography-based-quasi-continuous-blood-pressure-mon,LAST-CBPM: photoplethysmography-based quasi-continuous blood pressure monitoring algorithm,2026,2026-08-14,paper,Biomedical Signal Processing and Control,10.1016/j.bspc.2026.109723,https://doi.org/10.1016/j.bspc.2026.109723,primary-metadata/abstract,PPG | cuffless BP | wearable deployment,not_reported,PPG | IMU/context (possible),Daubechies-6 wavelet 去噪，temporal self-attention+BiLSTM 做群体估计，再用 ST-ResNet 和静息 baseline BP 做个人校准。,"MIMIC-IV SBP/DBP MAE 2.73±2.17/2.16±2.35 mmHg；自建 RTW-CV 88 人、10,754 分钟上为 4.87±5.89/4.52±4.38，论文称达到 AAMI/BHS Grade A/IEEE-SA。",用单通道 PPG 做 quasi-continuous BP，并通过 subject-specific calibration 适应真实可穿戴域。,Daubechies-6 wavelet 去噪，temporal self-attention+BiLSTM 做群体估计，再用 ST-ResNet 和静息 baseline BP 做个人校准。,"MIMIC-IV SBP/DBP MAE 2.73±2.17/2.16±2.35 mmHg；自建 RTW-CV 88 人、10,754 分钟上为 4.87±5.89/4.52±4.38，论文称达到 AAMI/BHS Grade A/IEEE-SA。",外部可穿戴结果优于很多纯医院模型，但依赖个人静息 BP，且摘要未证明完整器械标准协议。,是有现实域验证的校准型方案，不是 calibration-free。,推理需单通道 PPG 和已保存的个人静息 baseline BP；当前时刻无需 cuff BP。,历史 baseline 属 target-dependent calibration；当前 BP 未进入推理。subject split 未在摘要明确，风险中等。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,resting baseline BP,,onboarding,静息 baseline BP 用于 ST-ResNet 个体校准。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,true,自建 RTW-CV 可穿戴队列,存在独立数据/队列测试；仍按论文具体任务解释。,conditional,有条件可部署,PPG | stored baseline BP/personal parameters,false,推理需单通道 PPG 和已保存的个人静息 baseline BP；当前时刻无需 cuff BP。,medium,未发现逐窗当前 BP/ABP 反归一化；若来源未公开细节则仍保留未确认。,参考 BP/ABP 用于同步监督或设备对照；未见推理期按当前目标对齐。,BP/ABP 用于生成监督窗口；窗口与受试者隔离按论文披露程度审计。,未见明确用当前 BP 选择 PPG 质量；未披露者不按已排除处理。,静息 baseline BP 用于 ST-ResNet 个体校准。,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,历史 baseline 属 target-dependent calibration；当前 BP 未进入推理。subject split 未在摘要明确，风险中等。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-022-calibration-based-continuous-blood-pressure-estimation-using-pulse-deriv,Calibration-based continuous blood pressure estimation using pulse-derived signals and feature normalization,2026,2026-08-14,paper,Biomedical Signal Processing and Control,10.1016/j.bspc.2026.109852,https://doi.org/10.1016/j.bspc.2026.109852,primary-full-text,PPG | cuffless BP | calibration/personalization,not_reported,PPG,三个 CNN encoder 提取 PPG 及一、二阶导数特征，以无参数 affine transformation 注入 BP 信息，再用带 squeeze-excitation 的 RBSE block 回归。,在 VitalDB 与 BP-UCI 上优于论文比较的 baseline，并声称满足 AAMI、BHS Grade A；可得摘要未给可独立核对的完整 MAE 表。,融合 PPG、VPPG、APPG 的多阶脉搏形态，并用参考 BP 校准连续 SBP/DBP。,三个 CNN encoder 提取 PPG 及一、二阶导数特征，以无参数 affine transformation 注入 BP 信息，再用带 squeeze-excitation 的 RBSE block 回归。,在 VitalDB 与 BP-UCI 上优于论文比较的 baseline，并声称满足 AAMI、BHS Grade A；可得摘要未给可独立核对的完整 MAE 表。,多阶导数和校准可能提高同域结果，但 BP normalization/reference 的使用边界决定是否可部署。,必须把参考 BP 是历史校准值还是测试当前值写清楚；在此之前不能按免校准模型解读。,至少需要 PPG 和历史 reference BP/normalization 参数；当前参考 BP 是否完全不参与尚需方法图逐步复核。,存在 target-dependent calibration；未发现明确逐窗真实 BP 反归一化证据，但摘要不足以排除，风险中高。,已完成重点审核,verified,2025 预印本 / 2026 期刊,Elsevier 期刊文章核验,SSRN 预印本发布于 2025 年；当前记录对应 2026 年正式期刊文章。,reference-BP calibration,,before/within estimation pipeline,BP normalization/affine calibration 的边界需结合全文流程理解。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,conditional,有条件可部署,PPG/VPPG/APPG | stored reference-BP calibration,false,至少需要 PPG 和历史 reference BP/normalization 参数；当前参考 BP 是否完全不参与尚需方法图逐步复核。,medium-to-high,未发现逐窗当前 BP/ABP 反归一化；若来源未公开细节则仍保留未确认。,参考 BP/ABP 用于同步监督或设备对照；未见推理期按当前目标对齐。,BP/ABP 用于生成监督窗口；窗口与受试者隔离按论文披露程度审计。,未见明确用当前 BP 选择 PPG 质量；未披露者不按已排除处理。,BP normalization/affine calibration 的边界需结合全文流程理解。,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,存在 target-dependent calibration；未发现明确逐窗真实 BP 反归一化证据，但摘要不足以排除，风险中高。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
