id,title,year,first_reported_in_daily,record_type,source_venue,doi,url,source_verification,topics,datasets,input_signals,model_method,main_results,calibration_type,calibration_points,calibration_timing,calibration_notes,subject_split,subject_split_notes,external_validation,external_dataset_or_cohort,external_validation_notes,deployability,deployment_judgment,inference_inputs,current_reference_bp_required,deployment_notes,leakage_risk,abp_bp_denormalization,abp_bp_alignment,abp_bp_windowing,abp_bp_quality_filtering,target_dependent_calibration,window_leakage,subject_leakage,leakage_notes,audit_status,evidence_checked_on,notes
ppgbp-011-benchmarking-and-enhancing-ppg-based-cuffless-blood-pressure-estimation-,Benchmarking and Enhancing PPG-Based Cuffless Blood Pressure Estimation Methods,2026,2026-08-13,paper,BIOSIGNALS 2026,10.5220/0014245400004070,https://www.scitepress.org/PublishedPapers/2026/142454/,primary-paper,PPG | cuffless BP | benchmark | demographics | clinical criteria,NBPDB | MIMIC-III | VitalDB,PPG | age | sex | BMI,"Standardized 101,453-segment benchmark from 1,103 healthy adults; compares multiple models and demographic fusion.",No baseline model met AAMI/ISO numerical limits; demographic-enhanced MInception reduced error 23% to SBP/DBP MAE 4.75/2.90 mmHg.,none reported,0,none,"Demographics are covariates, not cuff calibration.",reported standardized benchmark,Full split manifest should be preserved in reuse.,false,,"Derived from two public ICU/OR datasets, not consumer-device clinical validation.",research-benchmark,有助于公平比较，非产品验证,PPG | age | sex | BMI,false,Numerical standard thresholds alone do not establish protocol compliance.,medium,not reported,curated synchronized signals,high-quality segment selection,curation likely uses signal/physiological constraints; audit manifest needed,NO,controlled by standardized protocol; verify implementation,reported controlled,Healthy-adult subset and demographic baselines may narrow target variance.,priority-reviewed,2026-08-24,重点深审。
ppgbp-012-anyppg-an-ecg-guided-ppg-foundation-model-trained-on-over-100-000-hours-,"AnyPPG: An ECG-Guided PPG Foundation Model Trained on Over 100,000 Hours of Recordings for Holistic Health Profiling",2026,2026-08-13,paper,arXiv,,https://arxiv.org/abs/2511.01747,primary-metadata,PPG | foundation model | ECG-guided pretraining | wearable,six multi-source synchronized PPG-ECG datasets,PPG at deployment | ECG only during pretraining,Dual-modal alignment places synchronized PPG and ECG representations in a shared physiological space; downstream use can retain only the PPG encoder.,"Pretraining covers about 109,909 h from 58,796 subjects; reports average gains of 12.8% in regression and 9.1% in classification across 11 tasks.",task-specific downstream adaptation,,downstream,No cuff BP calibration protocol is established by the foundation-model paper.,reported across downstream datasets,Exact per-task split must be checked before BP claims.,true,six independent downstream datasets,"Broad health tasks, not a dedicated cuffless BP device validation.",research-enabler,PPG-only 表征可部署,PPG,false,"ECG is privileged training supervision, not required at inference.",low for target leakage / medium for downstream split provenance,not applicable,"ECG–PPG synchronization is a training signal, not BP target leakage",not applicable to absolute BP output,not applicable,not applicable,task-specific,task-specific,Do not treat hypertension classification or foundation-model gains as absolute SBP/DBP validation.,priority-reviewed,2026-08-24,重点深审。
ppgbp-013-reassessing-the-feasibility-of-ppg-based-non-invasive-blood-glucose-leve,Reassessing the Feasibility of PPG-Based Non-Invasive Blood Glucose Level Estimation,2026,2026-08-13,paper,Preprint,,,daily-index-only,PPG,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-014-soft-multi-wavelength-photoplethysmography-enables-reliable-neonatal-blo,"Soft, Multi-Wavelength Photoplethysmography Enables Reliable Neonatal Blood Pressure Monitoring Via Error Stratification",2026,2026-08-13,paper,Advanced Science,,,daily-index-only,PPG | cuffless BP | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-015-arterial-blood-pressure-waveform-reconstruction-estimation-from-ppg-usin,Arterial blood pressure waveform reconstruction estimation from PPG using TCN–BiLSTM,2026,2026-08-13,paper,American Heart Journal Plus,10.1016/j.ahjo.2026.100837,https://pmc.ncbi.nlm.nih.gov/articles/PMC13375927/,primary-full-text,PPG | ABP waveform reconstruction | cuffless BP | TCN | BiLSTM | target leakage,VitalDB | MIMIC-IV,PPG | first derivative PPG | second derivative PPG,8 s PPG windows (2 s stride) are mapped to normalized ABP waveforms by a TCN–BiLSTM with extrema-aware Huber loss.,VitalDB reported SBP MAE/RMSE 3.61/5.24 and DBP 1.79/2.37 mmHg; external MIMIC-IV table reported about 4.6/1.9 mmHg MAE.,none claimed,0,none,"However, each test ABP window supplies its own mean and standard deviation for denormalization, which functions as unavailable target information.",true,"VitalDB split 1,568/328/330 subjects; overlapping windows stay within subject partitions.",true,MIMIC-IV,"External test without retraining is reported, but the same target-dependent preprocessing issue applies.",not-deployable-as-reported,按论文流程不可部署为 PPG-only 绝对 BP,PPG | current true ABP window mean | current true ABP window standard deviation,true,Real deployment cannot know current ABP μ/σ needed to restore mmHg.,critical,YES — per-window true ABP μ/σ stored and used for denormalization,not explicitly reported; synchronization source is pre-extracted paired data,YES — ABP peaks/troughs define labels and validity; minimum three ABP peaks required,YES — true SBP/DBP/PP ranges and ABP peak count filter windows,YES in effect through per-window ABP denormalization,"overlapping windows, but subject-wise partitions prevent cross-subject-window overlap",NO according to reported subject-wise split,Subject split and external data do not cancel leakage caused by current-test ABP statistics and ABP-based test selection.,priority-reviewed,2026-08-24,本库最高优先级泄露案例。
ppgbp-016-biosignal-fingerprinting-a-cross-modal-ppg-ecg-foundation-model,Biosignal Fingerprinting: A Cross-Modal PPG-ECG Foundation Model,2026,2026-08-13,paper,Preprint,,,daily-index-only,PPG | foundation model,not_reported,PPG | ECG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | ECG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-017-cardiac-health-assessment-across-scenarios-and-devices-using-a-multimoda,Cardiac health assessment across scenarios and devices using a multimodal foundation model pretrained on data from 1.7 million individuals,2026,2026-08-13,paper,Nature Machine Intelligence,,,daily-index-only,PPG | foundation model,not_reported,not_reported,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,not_reported,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-018-foundation-models-enable-wearable-signal-screening-for-cardiovascular-di,Foundation models enable wearable signal screening for cardiovascular disease among people living with HIV,2026,2026-08-13,paper,Communications Medicine,,,daily-index-only,PPG | foundation model | wearable deployment,not_reported,IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-019-pulselm-a-foundation-dataset-and-benchmark-for-ppg-text-learning,PulseLM: A Foundation Dataset and Benchmark for PPG-Text Learning,2026,2026-08-13,dataset-paper,arXiv,,https://arxiv.org/abs/2603.03331,primary-metadata,PPG | foundation dataset | PPG-text | question answering,15 public PPG sources,PPG | text question,Harmonized PPG segments paired with physiological question–answer tasks.,About 1.31 million 10-second PPG segments and 3.15 million QA pairs across 12 physiological QA tasks.,not applicable,0,not applicable,"Dataset/benchmark, not a cuffless BP calibration method.",varies-by-source/task,Must preserve subject IDs from each constituent dataset.,false,,"Benchmark aggregation, not clinical BP validation.",research-enabler,研究基础设施,PPG | task/question specification,false,Useful for multitask representation; does not validate absolute BP measurement.,medium,not applicable to dataset itself,varies by source dataset,source-dependent,source-dependent,not applicable,high risk if constituent windows are randomly split,must be actively prevented,Aggregating many sources amplifies split-provenance risk.,priority-reviewed,2026-08-24,重点深审。
ppgbp-020-integrating-biophysical-dynamics-with-a-data-driven-method-for-blood-pre,Integrating biophysical dynamics with a data-driven method for blood pressure estimation using photoplethysmography,2026,2026-08-14,paper,Biomedical Signal Processing and Control,,,daily-index-only,PPG | cuffless BP,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-021-last-cbpm-photoplethysmography-based-quasi-continuous-blood-pressure-mon,LAST-CBPM: photoplethysmography-based quasi-continuous blood pressure monitoring algorithm,2026,2026-08-14,paper,Biomedical Signal Processing and Control,,,daily-index-only,PPG | cuffless BP | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-022-calibration-based-continuous-blood-pressure-estimation-using-pulse-deriv,Calibration-based continuous blood pressure estimation using pulse-derived signals and feature normalization,2026,2026-08-14,paper,Biomedical Signal Processing and Control,,,daily-index-only,PPG | cuffless BP | calibration/personalization,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-023-personalized-calibration-and-hybrid-feature-fusion-for-continuous-blood-,Personalized Calibration and Hybrid Feature Fusion for Continuous Blood Pressure Estimation Using PPG and ECG Signals,2026,2026-08-14,paper,Sensors,,,daily-index-only,PPG | cuffless BP | calibration/personalization,not_reported,PPG | ECG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | ECG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-024-cuffless-hemodynamic-monitoring-with-physics-informed-machine-learning-m,Cuffless hemodynamic monitoring with physics-informed machine learning models,2026,2026-08-15,paper,Nature Communications,10.1038/s41467-026-72693-1,https://www.nature.com/articles/s41467-026-72693-1,primary-full-text,BioZ | cuffless BP | sPINN | physics-informed ML | smartwatch,PulseDB + synthetic BioZ | 75 healthy participants | hypertension/CVD clinical cohorts | one-year pilot,wrist BioZ resistance/reactance | space-time coordinates | optional anthropometric/anatomical metadata,BioZ signal encoder plus signal-tagged PINN constrained by Navier–Stokes/elastic-tube physics predicts BP and radial/axial velocity fields.,Cross-sectional r² ranges about 0.588–0.854 across cohorts; subject-specific models reached higher r². One-year pilot required daily recalibration to maintain performance.,population model plus optional subject-specific/daily recalibration,,daily in longitudinal pilot,"Despite calibration-free framing, full text reports limited longitudinal generalization and daily recalibration in the pilot.",mixed/limited,Population-wide results are shown without test-exclusive patients; subject-specific results are not unseen-subject generalization.,clinical feasibility cohorts,"healthy, hypertension, CVD and ICU/outpatient cohorts",No established cuffless BP validation protocol yet.,promising-but-not-ready,硬件可穿戴，算法纵向稳定性不足,wrist BioZ | stored model | optional demographics | possibly recent recalibration,not for each estimate; daily reference may be needed longitudinally,Watch battery about 6 h under continuous BLE in reported configuration.,high evaluation/generalization risk,not identified as current-window inverse scaling,paired BP used to train adaptive filter,paired signals used in training,unknown,daily reference recalibration in longitudinal pilot,not fully audited,population results not test-exclusive; subject-specific models are personalized,"Not necessarily classic target leakage, but evidence does not establish calibration-free unseen-user longitudinal deployment.",priority-reviewed,2026-08-24,重点深审。
ppgbp-025-apnea-burden-guided-framework-enhancing-out-of-distribution-generalizati,Apnea Burden-Guided Framework: Enhancing Out-of-Distribution Generalization in PPG-Based Sleep Apnea Characterization,2026,2026-08-15,paper,arXiv,,,daily-index-only,PPG,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-026-external-conditioning-of-data-collection-enhances-the-information-conten,External conditioning of data collection enhances the information content from wearable sensors,2026,2026-08-15,paper,npj Cardiovascular Health,,,daily-index-only,PPG | wearable deployment,not_reported,IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-027-a-four-wavelength-photoplethysmography-dataset-for-non-invasive-hemoglob,A Four-Wavelength Photoplethysmography dataset for non-invasive hemoglobin assessment,2026,2026-08-15,dataset-paper,Scientific Data,,,daily-index-only,PPG | dataset/benchmark,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-028-towards-trustworthy-ai-driven-cuffless-blood-pressure-monitoring,Towards trustworthy AI-driven cuffless blood pressure monitoring,2026,2026-08-15,paper,npj Digital Medicine,,,daily-index-only,PPG | cuffless BP | signal quality/trustworthiness | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-029-from-ppg-to-blood-pressure-at-the-edge-quantization-aware-architecture-s,From PPG to Blood Pressure at the Edge: Quantization-Aware Architecture Selection and On-MCU Validation,2026,2026-08-16,paper,Sensors,,,daily-index-only,PPG | cuffless BP | wearable deployment,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-030-blood-pressure-estimation-using-single-photoplethysmography-signal-based,Blood pressure estimation using single photoplethysmography signal based on ResNet-BiGRU,2026,2026-08-16,paper,Biomedical Engineering / Biomedizinische Technik,,,daily-index-only,PPG | cuffless BP,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
